event_name     event_lat  event_lon  station     station_lat  station_lon  DT/T    
B020104B       -31.5700  179.9200  G.PPT       -17.5690  210.4240    0.5828
B020104B       -31.5700  179.9200  II.RPN      -27.1270  250.6660   -0.1387
B020104B       -31.5700  179.9200  IU.HKT       29.9620  264.1620    0.0135
B020104B       -31.5700  179.9200  IU.LCO      -29.0110  289.3000   -0.1666
B020104B       -31.5700  179.9200  IU.LVC      -22.6130  291.0890   -0.1425
B020104B       -31.5700  179.9200  IU.PTCN     -25.0710  229.9050   -0.1970
B020104B       -31.5700  179.9200  IU.TRQA     -38.0570  298.0210   -0.4049
B020104B       -31.5700  179.9200  NR.NE73      30.0650  244.6520   -0.0540
B020104B       -31.5700  179.9200  NR.NE75      27.2930  247.1440   -0.0471
B020104B       -31.5700  179.9200  NR.NE76      26.8890  248.0010    0.0078
B020104B       -31.5700  179.9200  NR.NE79      23.1190  250.2440    0.0232
B032197A       -31.1800  179.9000  IU.HKT       29.9620  264.1620    0.0000
B032197A       -31.1800  179.9000  IU.LVC      -22.6130  291.0890   -0.0402
B032197A       -31.1800  179.9000  IU.LVC      -22.6130  291.0890   -0.0288
B032197A       -31.1800  179.9000  IU.PTCN     -25.0710  229.9050    0.0000
B032197A       -31.1800  179.9000  XB.FELL     -52.0570  289.9950   -0.3879
B042300D       -28.4300  297.0400  G.PEL       -33.1440  289.3250   -0.6887
B042300D       -28.4300  297.0400  G.PEL       -33.1440  289.3250   -0.3162
B042300D       -28.4300  297.0400  GT.PLCA     -40.7330  289.4490    1.2594
B042300D       -28.4300  297.0400  GT.PLCA     -40.7330  289.4490    0.1691
B042300D       -28.4300  297.0400  GT.PLCA     -40.7330  289.4490   -0.1207
B042300D       -28.4300  297.0400  II.EFI      -51.6750  301.9360   -0.4480
B042300D       -28.4300  297.0400  IU.PAYG      -0.6740  269.7140   -0.0809
B042703C       -8.2000  288.4400  GE.LVC      -22.6130  291.0890   -0.3764
B042703C       -8.2000  288.4400  GE.LVC      -22.6130  291.0890   -0.4244
B042703C       -8.2000  288.4400  GT.LPAZ     -16.2880  291.8690   -2.3970
B042703C       -8.2000  288.4400  GT.LPAZ     -16.2880  291.8690   -1.4956
B042703C       -8.2000  288.4400  GT.LPAZ     -16.2880  291.8690   -2.7624
B042703C       -8.2000  288.4400  IM.TX31      29.3340  256.3320   -0.3228
B042703C       -8.2000  288.4400  IU.HKT       29.9620  264.1620    0.0661
B042703C       -8.2000  288.4400  IU.LVC      -22.6130  291.0890   -0.3764
B042703C       -8.2000  288.4400  IU.LVC      -22.6130  291.0890   -0.4246
B042703C       -8.2000  288.4400  NR.NE79      23.1190  250.2440    0.0777
B110494A       -9.4000  288.9300  GT.LPAZ     -16.2880  291.8690   -1.7870
B110494A       -9.4000  288.9300  GT.LPAZ     -16.2880  291.8690   -0.6470
B110494A       -9.4000  288.9300  IU.BOCO       4.5870  285.9570   -0.6162
B110494A       -9.4000  288.9300  XE.CHUQ     -17.9450  292.1820   -1.5860
B110494A       -9.4000  288.9300  XE.CRUZ     -19.1030  293.7790   -0.7931
B110494A       -9.4000  288.9300  XE.CRUZ     -19.1030  293.7790    0.1460
B110494A       -9.4000  288.9300  XE.DOOR     -19.3540  292.7770   -0.2882
B110494A       -9.4000  288.9300  XE.HIZO     -19.6070  291.6740   -0.0723
B110494A       -9.4000  288.9300  XE.POOP     -18.3870  292.9820    0.3514
