event_name     event_lat  event_lon  station     station_lat  station_lon  DT/T    
B020104B       -31.5700  179.9200  G.KIP        21.4200  201.9890   -0.3100
B020104B       -31.5700  179.9200  G.PPT       -17.5690  210.4240    0.0848
B020104B       -31.5700  179.9200  II.RPN      -27.1270  250.6660   -0.2158
B020104B       -31.5700  179.9200  IU.HKT       29.9620  264.1620    0.1148
B020104B       -31.5700  179.9200  IU.LVC      -22.6130  291.0890   -0.2906
B020104B       -31.5700  179.9200  NR.NE75      27.2930  247.1440    0.0981
B020104B       -31.5700  179.9200  NR.NE76      26.8890  248.0010    0.1331
B032197A       -31.1800  179.9000  G.PEL       -33.1440  289.3250   -0.1803
B032197A       -31.1800  179.9000  G.UNM        19.3300  260.8220    0.1907
B032197A       -31.1800  179.9000  GT.PLCA     -40.7330  289.4490   -0.0480
B032197A       -31.1800  179.9000  GT.PLCA     -40.7330  289.4490   -0.2444
B032197A       -31.1800  179.9000  II.EFI      -51.6750  301.9360   -0.2442
B032197A       -31.1800  179.9000  II.RPN      -27.1270  250.6660   -0.0718
B032197A       -31.1800  179.9000  IU.LVC      -22.6130  291.0890   -0.0330
B032197A       -31.1800  179.9000  IU.LVC      -22.6130  291.0890    0.0526
B032197A       -31.1800  179.9000  IU.LVC      -22.6130  291.0890   -0.1633
B032197A       -31.1800  179.9000  IU.RAR      -21.2120  200.2270    0.1236
B032197A       -31.1800  179.9000  IU.RAR      -21.2120  200.2270    0.3556
B032197A       -31.1800  179.9000  XB.FELL     -52.0570  289.9950   -0.3536
B032197A       -31.1800  179.9000  XB.MILO     -51.5680  287.3800   -0.3031
B032197A       -31.1800  179.9000  XB.VTDF     -54.1390  291.2940   -0.2850
B042300D       -28.4300  297.0400  G.PEL       -33.1440  289.3250   -1.5109
B042300D       -28.4300  297.0400  GT.PLCA     -40.7330  289.4490   -0.6182
B042300D       -28.4300  297.0400  II.NNA      -11.9880  283.1580    0.5250
B042300D       -28.4300  297.0400  IU.PAYG      -0.6740  269.7140   -0.5556
B042300D       -28.4300  297.0400  YH.G03       -1.2780  269.5190   -0.5206
B042703C       -8.2000  288.4400  G.HDC        10.0020  275.8890   -0.6288
B042703C       -8.2000  288.4400  GE.LVC      -22.6130  291.0890   -0.4247
B042703C       -8.2000  288.4400  GT.LPAZ     -16.2880  291.8690   -1.3062
B042703C       -8.2000  288.4400  II.RPN      -27.1270  250.6660   -0.5115
B042703C       -8.2000  288.4400  IU.HKT       29.9620  264.1620    0.2694
B042703C       -8.2000  288.4400  IU.LVC      -22.6130  291.0890   -0.3998
B042703C       -8.2000  288.4400  IU.PAYG      -0.6740  269.7140    0.4206
B042703C       -8.2000  288.4400  IU.PAYG      -0.6740  269.7140   -0.5648
B042703C       -8.2000  288.4400  IU.TRQA     -38.0570  298.0210   -0.1642
B102302F       -30.6900  180.4400  GE.LVC      -22.6130  291.0890   -0.0965
B102302F       -30.6900  180.4400  II.RPN      -27.1270  250.6660   -0.0581
B102302F       -30.6900  180.4400  IU.AFI      -13.9090  188.2230   -0.1501
B102302F       -30.6900  180.4400  IU.LVC      -22.6130  291.0890   -0.1029
B110494A       -9.4000  288.9300  G.UNM        19.3300  260.8220    0.1085
B110494A       -9.4000  288.9300  GT.LPAZ     -16.2880  291.8690   -1.1418
B110494A       -9.4000  288.9300  GT.LPAZ     -16.2880  291.8690   -2.2591
B110494A       -9.4000  288.9300  II.NNA      -11.9880  283.1580   -2.6147
B110494A       -9.4000  288.9300  II.RPN      -27.1270  250.6660   -0.2605
B110494A       -9.4000  288.9300  IU.AFI      -13.9090  188.2230   -0.2959
B110494A       -9.4000  288.9300  XE.CRUZ     -19.1030  293.7790   -1.8263
B110494A       -9.4000  288.9300  XE.DOOR     -19.3540  292.7770   -2.7239
B110494A       -9.4000  288.9300  XE.HIZO     -19.6070  291.6740   -0.6038
B111304B       -26.8300  296.8000  II.EFI      -51.6750  301.9360    0.0426
